"dataHora","temp_min","temp_value","temp_max","ram_min","ram_value","ram_max"
"2023-10-16 13:26:53",32.1,40.8,67.0,4.7,5.1,5.7
"2023-10-16 13:26:54",32.1,40.8,67.0,4.7,5.1,5.7
"2023-10-16 13:26:55",32.1,40.9,67.0,4.7,5.1,5.7
"2023-10-16 13:26:56",32.1,40.9,67.0,4.7,5.1,5.7
"2023-10-16 13:26:57",32.1,40.8,67.0,4.7,5.1,5.7
"2023-10-16 13:26:58",32.1,40.8,67.0,4.7,5.1,5.7
"2023-10-16 13:26:59",32.1,40.6,67.0,4.7,5.1,5.7
"2023-10-16 13:27:00",32.1,40.5,67.0,4.7,5.1,5.7
"2023-10-16 13:27:01",32.1,40.5,67.0,4.7,5.1,5.7
"2023-10-16 13:27:02",32.1,40.5,67.0,4.7,5.1,5.7
"2023-10-16 13:27:03",32.1,40.5,67.0,4.7,5.1,5.7
"2023-10-16 13:27:04",32.1,40.8,67.0,4.7,5.1,5.7
"2023-10-16 13:27:05",32.1,40.9,67.0,4.7,5.1,5.7
"2023-10-16 13:27:06",32.1,41.3,67.0,4.7,5.1,5.7
"2023-10-16 13:27:08",32.1,41.3,67.0,4.7,5.1,5.7
"2023-10-16 13:27:09",32.1,41.3,67.0,4.7,5.1,5.7
"2023-10-16 13:27:10",32.1,41.0,67.0,4.7,5.1,5.7
"2023-10-16 13:27:11",32.1,40.9,67.0,4.7,5.1,5.7
"2023-10-16 13:27:12",32.1,41.4,67.0,4.7,5.2,5.7
"2023-10-16 13:27:13",32.1,41.8,67.0,4.7,5.2,5.7
"2023-10-16 13:27:14",32.1,42.9,67.0,4.7,5.3,5.7
"2023-10-16 13:27:15",32.1,44.0,67.0,4.7,5.4,5.7
"2023-10-16 13:27:16",32.1,45.3,67.0,4.7,5.4,5.7
"2023-10-16 13:27:17",32.1,46.4,67.0,4.7,5.4,5.7
"2023-10-16 13:27:18",32.1,47.5,67.0,4.7,5.4,5.7
"2023-10-16 13:27:19",32.1,48.0,67.0,4.7,5.5,5.7
"2023-10-16 13:27:20",32.1,48.0,67.0,4.7,5.5,5.7
"2023-10-16 13:27:21",32.1,48.4,67.0,4.7,5.5,5.7
"2023-10-16 13:27:22",32.1,48.8,67.0,4.7,5.5,5.7
"2023-10-16 13:27:23",32.1,48.8,67.0,4.7,5.5,5.7
"2023-10-16 13:27:24",32.1,50.3,67.0,4.7,5.6,5.7
"2023-10-16 13:27:25",32.1,51.5,67.0,4.7,5.6,5.7
"2023-10-16 13:27:26",32.1,51.6,67.0,4.7,5.5,5.7
"2023-10-16 13:27:27",32.1,50.3,67.0,4.7,5.5,5.7
"2023-10-16 13:27:28",32.1,49.5,67.0,4.7,5.5,5.7
"2023-10-16 13:27:29",32.1,49.3,67.0,4.7,5.4,5.7
"2023-10-16 13:27:30",32.1,49.8,67.0,4.7,5.5,5.7
"2023-10-16 13:27:31",32.1,49.9,67.0,4.7,5.5,5.7
"2023-10-16 13:27:32",32.1,50.0,67.0,4.7,5.6,5.7
"2023-10-16 13:27:33",32.1,50.4,67.0,4.7,5.6,5.7
"2023-10-16 13:27:34",32.1,50.3,67.0,4.7,5.6,5.7
"2023-10-16 13:27:35",32.1,50.6,67.0,4.7,5.7,5.7
"2023-10-16 13:27:37",32.1,50.8,67.0,4.7,5.7,5.7
"2023-10-16 13:27:38",32.1,51.5,67.0,4.7,5.5,5.7
"2023-10-16 13:27:39",32.1,50.5,67.0,4.7,5.5,5.7
"2023-10-16 13:27:40",32.1,50.3,67.0,4.7,5.4,5.7
"2023-10-16 13:27:41",32.1,50.5,67.0,4.7,5.4,5.7
"2023-10-16 13:27:42",32.1,50.0,67.0,4.7,5.5,5.7
"2023-10-16 13:27:43",32.1,50.0,67.0,4.7,5.5,5.7
"2023-10-16 13:27:44",32.1,49.3,67.0,4.7,5.5,5.7
"2023-10-16 13:27:45",32.1,49.8,67.0,4.7,5.5,5.7
